"","Credit","balance_credit_acc","duration","moral","verw","hoehe","sparkont","beszeit","rate","famges","buerge","wohnzeit","verm","alter","weitkred","wohn","bishkred","beruf","pers","telef","gastarb"
"256","Good","0 <= ... <= 200",15,"no previous credits / paid back all previous credits","retraining",2687,"not available / no savings","4 <= ... < 7 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","Car / Other",26,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"257","Good","no running account",15,"no problems with current credits at this bank","used car",3643,"not available / no savings",">= 7 years",">= 35","female: divorced / living apart / married","none",">= 7 years","Car / Other",27,"no further running credits","rented flat","two or three","unskilled with permanent residence","3 and more","no","yes"
"258","Good"," ... >= 200 DM or checking account for at least 1 year",10,"paid back previous credits at this bank","used car",2146,"not available / no savings","<= 1 year",">= 35","female: divorced / living apart / married","none","4 <= ... < 7 years","not available / no assets",23,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"259","Good","no running account",10,"no previous credits / paid back all previous credits","items of furniture",2315,"not available / no savings",">= 7 years","20 <= ... < 25","male: married / widowed","none",">= 7 years","not available / no assets",52,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
"260","Good"," ... >= 200 DM or checking account for at least 1 year",5,"no previous credits / paid back all previous credits","retraining",3448,"not available / no savings","4 <= ... < 7 years",">= 35","male: married / widowed","none",">= 7 years","not available / no assets",74,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
"261","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no previous credits / paid back all previous credits","used car",2708,"not available / no savings","<= 1 year","25 <= ... < 35","male: married / widowed","none","4 <= ... < 7 years","Car / Other",27,"at other banks","rented flat","two or three","unskilled with permanent residence","3 and more","no","yes"
"262","Good"," ... >= 200 DM or checking account for at least 1 year",11,"paid back previous credits at this bank","other",1393,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",35,"no further running credits","rented flat","two or three","executive / self-employed / higher civil servant","3 and more","no","yes"
"263","Good","0 <= ... <= 200",10,"no previous credits / paid back all previous credits","used car",1275,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none","1 <= ... < 4 years","Car / Other",23,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"264","Good"," ... >= 200 DM or checking account for at least 1 year",9,"no previous credits / paid back all previous credits","used car",1313,"not available / no savings",">= 7 years",">= 35","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",20,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"265","Good"," ... >= 200 DM or checking account for at least 1 year",12,"no previous credits / paid back all previous credits","items of furniture",1493,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",34,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"266","Good"," ... >= 200 DM or checking account for at least 1 year",22,"no previous credits / paid back all previous credits","items of furniture",2675,"100,- <= ... < 500,- DM",">= 7 years","20 <= ... < 25","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",40,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"267","Good","no balance or debit",9,"no previous credits / paid back all previous credits","items of furniture",2118,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",37,"no further running credits","rented flat","one","unskilled with permanent residence","0 to 2","no","yes"
"268","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no previous credits / paid back all previous credits","other",909,"100,- <= ... < 500,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Car / Other",36,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"269","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","used car",1258,"not available / no savings","<= 1 year","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Car / Other",22,"no further running credits","free apartment","two or three","unskilled with permanent residence","3 and more","no","yes"
"270","Good"," ... >= 200 DM or checking account for at least 1 year",15,"problematic running account / there are further credits running but at other banks","items of furniture",1569,"< 100,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",34,"at other banks","rented flat","one","unskilled with permanent residence","0 to 2","no","yes"
"271","Good"," ... >= 200 DM or checking account for at least 1 year",6,"no previous credits / paid back all previous credits","new car",1236,"100,- <= ... < 500,- DM","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","Car / Other",50,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"272","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no problems with current credits at this bank","used car",7678,"100,- <= ... < 500,- DM","4 <= ... < 7 years","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",40,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"273","Good"," ... >= 200 DM or checking account for at least 1 year",6,"no previous credits / paid back all previous credits","household appliances",660,"100,- <= ... < 500,- DM","4 <= ... < 7 years","25 <= ... < 35","female: single","none",">= 7 years","not available / no assets",23,"no further running credits","free apartment","one","unskilled with permanent residence","3 and more","no","yes"
"274","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","used car",2835,"100,- <= ... < 500,- DM",">= 7 years","20 <= ... < 25","male: married / widowed","none",">= 7 years","Car / Other",53,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"275","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","new car",2670,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",35,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"276","Good"," ... >= 200 DM or checking account for at least 1 year",12,"problematic running account / there are further credits running but at other banks","vacation",3447,"100,- <= ... < 500,- DM","1 <= ... < 4 years","< 20","female: divorced / living apart / married","none","4 <= ... < 7 years","not available / no assets",35,"no further running credits","rented flat","one","unskilled with permanent residence","0 to 2","no","yes"
"277","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no previous credits / paid back all previous credits","items of furniture",3568,"not available / no savings",">= 7 years","< 20","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",54,"at other banks","free apartment","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"278","Good","no balance or debit",21,"paid back previous credits at this bank","retraining",3652,"not available / no savings","4 <= ... < 7 years","25 <= ... < 35","male: married / widowed","none","4 <= ... < 7 years","Car / Other",27,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"279","Good","no running account",24,"no previous credits / paid back all previous credits","items of furniture",3660,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",28,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"280","Good","0 <= ... <= 200",9,"no previous credits / paid back all previous credits","items of furniture",1126,"< 100,- DM",">= 7 years","25 <= ... < 35","male: divorced / living apart","none",">= 7 years","not available / no assets",49,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"281","Good","0 <= ... <= 200",6,"no problems with current credits at this bank","items of furniture",683,"not available / no savings","<= 1 year","25 <= ... < 35","female: divorced / living apart / married","none","< 1 year","Car / Other",29,"at other banks","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"282","Good","0 <= ... <= 200",12,"no previous credits / paid back all previous credits","used car",2251,"not available / no savings","1 <= ... < 4 years",">= 35","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",46,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
"283","Good"," ... >= 200 DM or checking account for at least 1 year",12,"no previous credits / paid back all previous credits","new car",4675," >= 1000,- DM","<= 1 year",">= 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",20,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"284","Good","no balance or debit",21,"no problems with current credits at this bank","other",2353,"not available / no savings","1 <= ... < 4 years",">= 35","male: divorced / living apart","none",">= 7 years","Car / Other",47,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"285","Good","no running account",21,"no previous credits / paid back all previous credits","items of furniture",3357,"500,- <= ... < 1000,- DM","<= 1 year","< 20","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",29,"at other banks","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"286","Good"," ... >= 200 DM or checking account for at least 1 year",6,"no previous credits / paid back all previous credits","other",672,"not available / no savings","unemployed",">= 35","female: divorced / living apart / married","none",">= 7 years","not available / no assets",54,"no further running credits","rented flat","one","unemployed / unskilled with no permanent residence","3 and more","yes","yes"
"287","Good","no running account",6,"paid back previous credits at this bank","items of furniture",338,"100,- <= ... < 500,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",52,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"288","Good"," ... >= 200 DM or checking account for at least 1 year",9,"no previous credits / paid back all previous credits","items of furniture",2697,"not available / no savings","1 <= ... < 4 years",">= 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",32,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"289","Good"," ... >= 200 DM or checking account for at least 1 year",9,"no previous credits / paid back all previous credits","other",2507,"100,- <= ... < 500,- DM",">= 7 years","25 <= ... < 35","male: married / widowed","none",">= 7 years","Ownership of house or land",51,"no further running credits","owner-occupied flat","one","unskilled with permanent residence","3 and more","no","yes"
"290","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no problems with current credits at this bank","items of furniture",1478,"not available / no savings","1 <= ... < 4 years","< 20","female: single","none","4 <= ... < 7 years","not available / no assets",33,"at other banks","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"291","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","repair",3565," >= 1000,- DM","<= 1 year","25 <= ... < 35","male: married / widowed","none","< 1 year","Car / Other",37,"no further running credits","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"292","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no previous credits / paid back all previous credits","used car",2221,"100,- <= ... < 500,- DM","1 <= ... < 4 years","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",20,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"293","Good"," ... >= 200 DM or checking account for at least 1 year",6,"paid back previous credits at this bank","items of furniture",1898," >= 1000,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",34,"no further running credits","rented flat","two or three","unskilled with permanent residence","0 to 2","no","yes"
"294","Good","no balance or debit",6,"no problems with current credits at this bank","retraining",1449,"< 100,- DM",">= 7 years",">= 35","male: divorced / living apart","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",31,"at other banks","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"295","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no problems with current credits at this bank","used car",960,"500,- <= ... < 1000,- DM","4 <= ... < 7 years","20 <= ... < 25","female: divorced / living apart / married","none","1 <= ... < 4 years","Car / Other",30,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"296","Good"," ... >= 200 DM or checking account for at least 1 year",36,"no previous credits / paid back all previous credits","new car",8133,"not available / no savings","1 <= ... < 4 years",">= 35","female: divorced / living apart / married","none","1 <= ... < 4 years","Car / Other",30,"at other banks","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"297","Good"," ... >= 200 DM or checking account for at least 1 year",9,"no previous credits / paid back all previous credits","used car",2301,"< 100,- DM","<= 1 year","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Car / Other",22,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"298","Good"," ... >= 200 DM or checking account for at least 1 year",6,"no problems with current credits at this bank","retraining",1743,"< 100,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",34,"no further running credits","rented flat","two or three","unskilled with permanent residence","3 and more","no","yes"
"299","Good","no balance or debit",12,"no previous credits / paid back all previous credits","used car",983,"500,- <= ... < 1000,- DM","<= 1 year",">= 35","female: divorced / living apart / married","none",">= 7 years","not available / no assets",19,"no further running credits","free apartment","one","unskilled with permanent residence","3 and more","no","yes"
"300","Good"," ... >= 200 DM or checking account for at least 1 year",18,"no problems with current credits at this bank","items of furniture",2320,"not available / no savings","unemployed","25 <= ... < 35","female: single","none","4 <= ... < 7 years","not available / no assets",34,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"301","Good","no running account",12,"problematic running account / there are further credits running but at other banks","vacation",339,"not available / no savings",">= 7 years","< 20","female: single","none","< 1 year","Savings contract with a building society / Life insurance",45,"at other banks","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
"302","Good","0 <= ... <= 200",24,"no previous credits / paid back all previous credits","items of furniture",5152,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",25,"at other banks","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"303","Good","0 <= ... <= 200",24,"no previous credits / paid back all previous credits","used car",3749,"not available / no savings","<= 1 year","25 <= ... < 35","female: divorced / living apart / married","none",">= 7 years","Savings contract with a building society / Life insurance",26,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"304","Good"," ... >= 200 DM or checking account for at least 1 year",9,"paid back previous credits at this bank","items of furniture",3074," >= 1000,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",33,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"305","Bad","0 <= ... <= 200",9,"no previous credits / paid back all previous credits","items of furniture",745,"not available / no savings","1 <= ... < 4 years","20 <= ... < 25","female: divorced / living apart / married","none","1 <= ... < 4 years","not available / no assets",28,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","yes"
"306","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no previous credits / paid back all previous credits","other",1469,"< 100,- DM",">= 7 years","< 20","female: single","none",">= 7 years","not available / no assets",41,"no further running credits","free apartment","one","unskilled with permanent residence","3 and more","no","yes"
"307","Good","no running account",6,"no previous credits / paid back all previous credits","used car",1374,"not available / no savings","1 <= ... < 4 years",">= 35","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",36,"at other banks","rented flat","one","unskilled with permanent residence","3 and more","yes","yes"
"308","Good"," ... >= 200 DM or checking account for at least 1 year",6,"problematic running account / there are further credits running but at other banks","other",783," >= 1000,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","Guarantor","1 <= ... < 4 years","not available / no assets",26,"at department store or mail order house","rented flat","one","unskilled with permanent residence","0 to 2","no","yes"
"309","Good","no running account",21,"no previous credits / paid back all previous credits","items of furniture",2606,"not available / no savings","<= 1 year","< 20","female: divorced / living apart / married","none",">= 7 years","Car / Other",28,"no further running credits","free apartment","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"310","Good"," ... >= 200 DM or checking account for at least 1 year",54,"hesitant payment of previous credits","new car",9436," >= 1000,- DM","1 <= ... < 4 years","25 <= ... < 35","male: married / widowed","none","1 <= ... < 4 years","Car / Other",39,"no further running credits","rented flat","one","unskilled with permanent residence","0 to 2","no","yes"
"311","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","items of furniture",930," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","not available / no assets",65,"no further running credits","rented flat","six or more","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"312","Good"," ... >= 200 DM or checking account for at least 1 year",48,"paid back previous credits at this bank","new car",2751," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",38,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","yes","yes"
"313","Good"," ... >= 200 DM or checking account for at least 1 year",6,"paid back previous credits at this bank","other",250,"500,- <= ... < 1000,- DM","1 <= ... < 4 years","25 <= ... < 35","female: divorced / living apart / married","none","1 <= ... < 4 years","not available / no assets",41,"at other banks","rented flat","two or three","unskilled with permanent residence","3 and more","no","yes"
"314","Good","no balance or debit",24,"no previous credits / paid back all previous credits","other",1201,"not available / no savings","<= 1 year","< 20","male: married / widowed","none","< 1 year","Car / Other",26,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"315","Good","no running account",6,"no previous credits / paid back all previous credits","other",662,"not available / no savings","<= 1 year","20 <= ... < 25","male: married / widowed","none",">= 7 years","not available / no assets",41,"no further running credits","rented flat","one","unskilled with permanent residence","0 to 2","yes","yes"
"316","Good"," ... >= 200 DM or checking account for at least 1 year",15,"no previous credits / paid back all previous credits","new car",1300," >= 1000,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Ownership of house or land",45,"at other banks","owner-occupied flat","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"317","Good"," ... >= 200 DM or checking account for at least 1 year",24,"problematic running account / there are further credits running but at other banks","retraining",1559,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",40,"at other banks","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"318","Good","0 <= ... <= 200",12,"no previous credits / paid back all previous credits","items of furniture",3016,"not available / no savings","1 <= ... < 4 years","20 <= ... < 25","female: single","none","< 1 year","Savings contract with a building society / Life insurance",24,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"319","Good"," ... >= 200 DM or checking account for at least 1 year",15,"paid back previous credits at this bank","items of furniture",1360,"not available / no savings","1 <= ... < 4 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Car / Other",31,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"320","Good"," ... >= 200 DM or checking account for at least 1 year",6,"hesitant payment of previous credits","other",1204,"< 100,- DM","1 <= ... < 4 years","< 20","male: married / widowed","none","< 1 year","Ownership of house or land",35,"at other banks","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","no"
"321","Good"," ... >= 200 DM or checking account for at least 1 year",10,"no previous credits / paid back all previous credits","other",1597,"100,- <= ... < 500,- DM","1 <= ... < 4 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","Ownership of house or land",40,"no further running credits","free apartment","one","unskilled with permanent residence","0 to 2","no","no"
"322","Good"," ... >= 200 DM or checking account for at least 1 year",12,"no previous credits / paid back all previous credits","items of furniture",2073,"< 100,- DM","1 <= ... < 4 years","< 20","female: divorced / living apart / married","Co-Applicant","1 <= ... < 4 years","not available / no assets",28,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"323","Good"," ... >= 200 DM or checking account for at least 1 year",11,"no previous credits / paid back all previous credits","retraining",2142,"500,- <= ... < 1000,- DM",">= 7 years",">= 35","male: divorced / living apart","none","1 <= ... < 4 years","not available / no assets",28,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"324","Good","no running account",10,"paid back previous credits at this bank","used car",2132," >= 1000,- DM","<= 1 year","25 <= ... < 35","female: divorced / living apart / married","Co-Applicant","4 <= ... < 7 years","not available / no assets",27,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","no"
"325","Good"," ... >= 200 DM or checking account for at least 1 year",10,"no previous credits / paid back all previous credits","other",1546,"not available / no savings","1 <= ... < 4 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",31,"no further running credits","rented flat","one","unskilled with permanent residence","0 to 2","no","no"
"326","Good"," ... >= 200 DM or checking account for at least 1 year",24,"paid back previous credits at this bank","other",1287,"500,- <= ... < 1000,- DM",">= 7 years","< 20","female: divorced / living apart / married","none",">= 7 years","not available / no assets",37,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"327","Good"," ... >= 200 DM or checking account for at least 1 year",10,"no previous credits / paid back all previous credits","other",1418,"< 100,- DM","1 <= ... < 4 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","not available / no assets",35,"no further running credits","free apartment","one","unskilled with permanent residence","3 and more","no","no"
"328","Good","0 <= ... <= 200",6,"paid back previous credits at this bank","other",1343,"not available / no savings",">= 7 years",">= 35","male: married / widowed","none",">= 7 years","not available / no assets",46,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","no","no"
"329","Good"," ... >= 200 DM or checking account for at least 1 year",18,"no previous credits / paid back all previous credits","other",2662," >= 1000,- DM","4 <= ... < 7 years","< 20","male: married / widowed","none","4 <= ... < 7 years","Car / Other",32,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","no"
"330","Good"," ... >= 200 DM or checking account for at least 1 year",18,"paid back previous credits at this bank","items of furniture",6070,"not available / no savings",">= 7 years","20 <= ... < 25","male: married / widowed","none",">= 7 years","Savings contract with a building society / Life insurance",33,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"331","Good"," ... >= 200 DM or checking account for at least 1 year",24,"paid back previous credits at this bank","repair",1927," >= 1000,- DM","1 <= ... < 4 years","20 <= ... < 25","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",33,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"332","Good"," ... >= 200 DM or checking account for at least 1 year",18,"paid back previous credits at this bank","items of furniture",2404,"not available / no savings","1 <= ... < 4 years","25 <= ... < 35","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",26,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"333","Good"," ... >= 200 DM or checking account for at least 1 year",6,"paid back previous credits at this bank","items of furniture",1554,"not available / no savings","4 <= ... < 7 years",">= 35","female: divorced / living apart / married","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",24,"no further running credits","free apartment","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"334","Good"," ... >= 200 DM or checking account for at least 1 year",22,"no previous credits / paid back all previous credits","other",1283," >= 1000,- DM","4 <= ... < 7 years","< 20","female: divorced / living apart / married","none",">= 7 years","Car / Other",25,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
"335","Good"," ... >= 200 DM or checking account for at least 1 year",24,"no problems with current credits at this bank","other",717," >= 1000,- DM",">= 7 years","< 20","female: single","none",">= 7 years","Savings contract with a building society / Life insurance",54,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"336","Good","no running account",24,"no previous credits / paid back all previous credits","used car",1747,"not available / no savings","<= 1 year","< 20","male: married / widowed","Co-Applicant","< 1 year","Car / Other",24,"no further running credits","rented flat","one","unskilled with permanent residence","3 and more","no","no"
"337","Good","no running account",9,"paid back previous credits at this bank","household appliances",1288,"< 100,- DM",">= 7 years","20 <= ... < 25","male: married / widowed","Guarantor",">= 7 years","not available / no assets",48,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","no","no"
"338","Good","no running account",10,"paid back previous credits at this bank","other",1038,"not available / no savings","4 <= ... < 7 years","< 20","male: married / widowed","Co-Applicant","4 <= ... < 7 years","Car / Other",49,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"339","Good"," ... >= 200 DM or checking account for at least 1 year",10,"no previous credits / paid back all previous credits","new car",2848,"< 100,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","Co-Applicant","1 <= ... < 4 years","not available / no assets",32,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","yes"
"340","Good"," ... >= 200 DM or checking account for at least 1 year",12,"no previous credits / paid back all previous credits","new car",1413,"500,- <= ... < 1000,- DM","4 <= ... < 7 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","Car / Other",55,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","no","no"
"341","Good"," ... >= 200 DM or checking account for at least 1 year",30,"paid back previous credits at this bank","items of furniture",3077," >= 1000,- DM",">= 7 years","20 <= ... < 25","male: married / widowed","none","1 <= ... < 4 years","Savings contract with a building society / Life insurance",40,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","0 to 2","yes","yes"
"342","Good","no running account",24,"problematic running account / there are further credits running but at other banks","new car",3632,"not available / no savings","1 <= ... < 4 years",">= 35","female: divorced / living apart / married","Guarantor",">= 7 years","Savings contract with a building society / Life insurance",22,"at other banks","free apartment","one","skilled worker / skilled employee / minor civil servant","3 and more","no","no"
"343","Good"," ... >= 200 DM or checking account for at least 1 year",18,"paid back previous credits at this bank","new car",3229," >= 1000,- DM","unemployed","25 <= ... < 35","male: married / widowed","none",">= 7 years","Ownership of house or land",38,"no further running credits","rented flat","one","executive / self-employed / higher civil servant","3 and more","yes","yes"
"344","Good"," ... >= 200 DM or checking account for at least 1 year",9,"no previous credits / paid back all previous credits","other",3577,"< 100,- DM","1 <= ... < 4 years",">= 35","male: married / widowed","Guarantor","1 <= ... < 4 years","not available / no assets",26,"no further running credits","free apartment","one","skilled worker / skilled employee / minor civil servant","0 to 2","no","no"
"345","Good"," ... >= 200 DM or checking account for at least 1 year",12,"paid back previous credits at this bank","other",682,"< 100,- DM","4 <= ... < 7 years","< 20","female: divorced / living apart / married","none","4 <= ... < 7 years","Savings contract with a building society / Life insurance",51,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"346","Good"," ... >= 200 DM or checking account for at least 1 year",10,"no previous credits / paid back all previous credits","items of furniture",1924,"not available / no savings","1 <= ... < 4 years",">= 35","male: married / widowed","none",">= 7 years","Car / Other",38,"no further running credits","rented flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","no"
"347","Good"," ... >= 200 DM or checking account for at least 1 year",10,"no previous credits / paid back all previous credits","repair",727,"100,- <= ... < 500,- DM",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Ownership of house or land",46,"no further running credits","owner-occupied flat","one","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"348","Good","0 <= ... <= 200",10,"paid back previous credits at this bank","other",781,"not available / no savings",">= 7 years","< 20","male: married / widowed","none",">= 7 years","Ownership of house or land",63,"no further running credits","owner-occupied flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","yes","yes"
"349","Good","no running account",12,"paid back previous credits at this bank","other",2121,"not available / no savings","1 <= ... < 4 years","< 20","male: married / widowed","none","1 <= ... < 4 years","Car / Other",30,"no further running credits","rented flat","two or three","skilled worker / skilled employee / minor civil servant","3 and more","no","yes"
